file_name,status,row_count,col_count,river_id_col,river_id_value,river_name_col,river_name_value,date_col,min_date,max_date,unique_dates,duplicate_dates,has_discharge,discharge_col,discharge_missing,discharge_neg_count,discharge_zero_count,discharge_mean,discharge_max,has_rain,rain_col,rain_missing,rain_neg_count,rain_zero_count,rain_mean,rain_max,missing_ratio_mean,high_missing_cols_over_50pct,static_features_present,static_features_missing_ratio
clean_rf_feature_importance.csv,OK,16,2,,,,,,,,,,False,,,,,,,False,,,,,,,0.0,0,,{}
clean_rf_metrics_by_horizon.csv,OK,10,6,,,,,,,,,,False,,,,,,,False,,,,,,,0.0,0,,{}
clean_rf_test_predictions.csv,OK,11792,27,river_id,1434000,,,,,,,,False,,,,,,,False,,,,,,,0.0,0,"river_drainage_area_sqmi, river_elevation_ft, river_latitude, river_longitude","{'river_drainage_area_sqmi': 0.0, 'river_elevation_ft': 0.0, 'river_latitude': 0.0, 'river_longitude': 0.0}"
clean_rf_threshold_tuning.csv,OK,81,4,,,,,,,,,,False,,,,,,,False,,,,,,,0.0,0,,{}
df_model.csv,OK,71853,81,river_id,1434000,,,date,2014-01-07,2024-12-26,4007.0,67846.0,False,,,,,,,True,weather_precipitation_sum,0.0,0.0,32234.0,3.200144739955187,148.2,0.0,0,"river_drainage_area_sqmi, river_elevation_ft, river_latitude, river_longitude","{'river_drainage_area_sqmi': 0.0, 'river_elevation_ft': 0.0, 'river_latitude': 0.0, 'river_longitude': 0.0}"
final_low_leakage_feature_importance.csv,OK,16,2,,,,,,,,,,False,,,,,,,False,,,,,,,0.0,0,,{}
final_low_leakage_summary.csv,OK,1,9,,,,,,,,,,False,,,,,,,False,,,,,,,0.0,0,,{}
final_low_leakage_thresholds.csv,OK,98,4,,,,,,,,,,False,,,,,,,False,,,,,,,0.0,0,,{}
lightgbm_day1_feature_importance.csv,OK,59,2,,,,,,,,,,False,,,,,,,False,,,,,,,0.0,0,,{}
lightgbm_direct_metrics_by_horizon.csv,OK,10,5,,,,,,,,,,False,,,,,,,False,,,,,,,0.0,0,,{}
lightgbm_direct_overall_metrics.csv,OK,1,3,,,,,,,,,,False,,,,,,,False,,,,,,,0.0,0,,{}
lightgbm_direct_vs_recursive_comparison.csv,OK,10,8,,,,,,,,,,False,,,,,,,False,,,,,,,0.0,0,,{}
lightgbm_recursive_metrics_by_horizon.csv,OK,10,4,,,,,,,,,,False,,,,,,,False,,,,,,,0.0,0,,{}
lightgbm_recursive_overall_metrics.csv,OK,1,3,,,,,,,,,,False,,,,,,,False,,,,,,,0.0,0,,{}
lstm_direct_log_metrics_by_horizon.csv,OK,10,4,,,,,,,,,,False,,,,,,,False,,,,,,,0.0,0,,{}
lstm_direct_log_overall_metrics.csv,OK,1,3,,,,,,,,,,False,,,,,,,False,,,,,,,0.0,0,,{}
lstm_direct_metrics_by_horizon.csv,OK,10,4,,,,,,,,,,False,,,,,,,False,,,,,,,0.0,0,,{}
lstm_direct_overall_metrics.csv,OK,1,3,,,,,,,,,,False,,,,,,,False,,,,,,,0.0,0,,{}
lstm_direct_vs_recursive_comparison.csv,OK,10,7,,,,,,,,,,False,,,,,,,False,,,,,,,0.0,0,,{}
lstm_direct_vs_recursive_log_comparison.csv,OK,10,7,,,,,,,,,,False,,,,,,,False,,,,,,,0.0,0,,{}
lstm_recursive_log_metrics_by_horizon.csv,OK,10,4,,,,,,,,,,False,,,,,,,False,,,,,,,0.0,0,,{}
lstm_recursive_log_overall_metrics.csv,OK,1,3,,,,,,,,,,False,,,,,,,False,,,,,,,0.0,0,,{}
lstm_recursive_metrics_by_horizon.csv,OK,10,4,,,,,,,,,,False,,,,,,,False,,,,,,,0.0,0,,{}
lstm_recursive_overall_metrics.csv,OK,1,3,,,,,,,,,,False,,,,,,,False,,,,,,,0.0,0,,{}
peak_flood_classification_results.csv,OK,36467,9,river_id,1434000,,,,,,,,False,,,,,,,False,,,,,,,0.0,0,,{}
peak_flood_metrics_by_horizon.csv,OK,10,5,,,,,,,,,,False,,,,,,,False,,,,,,,0.0,0,,{}
peak_regression_metrics_by_horizon.csv,OK,10,4,,,,,,,,,,False,,,,,,,False,,,,,,,0.0,0,,{}
recursive_baseline_metrics_by_horizon.csv,OK,10,4,,,,,,,,,,False,,,,,,,False,,,,,,,0.0,0,,{}
recursive_baseline_summary.csv,OK,1,5,,,,,,,,,,False,,,,,,,False,,,,,,,0.0,0,,{}
ridge_direct_metrics_by_horizon.csv,OK,10,5,,,,,,,,,,False,,,,,,,False,,,,,,,0.0,0,,{}
ridge_direct_overall_metrics.csv,OK,1,3,,,,,,,,,,False,,,,,,,False,,,,,,,0.0,0,,{}
ridge_direct_vs_recursive_comparison.csv,OK,10,8,,,,,,,,,,False,,,,,,,False,,,,,,,0.0,0,,{}
ridge_recursive_metrics_by_horizon.csv,OK,10,4,,,,,,,,,,False,,,,,,,False,,,,,,,0.0,0,,{}
ridge_recursive_overall_metrics.csv,OK,1,3,,,,,,,,,,False,,,,,,,False,,,,,,,0.0,0,,{}
threshold_flood_classification_results.csv,OK,48993,10,river_id,1434000,,,,,,,,False,,,,,,,False,,,,,,,0.0,0,,{}
threshold_flood_metrics_by_horizon.csv,OK,10,6,,,,,,,,,,False,,,,,,,False,,,,,,,0.0,0,,{}
threshold_tuning_results.csv,OK,6,4,,,,,,,,,,False,,,,,,,False,,,,,,,0.0,0,,{}
tuned_cv_feature_importance.csv,OK,25,2,,,,,,,,,,False,,,,,,,False,,,,,,,0.0,0,,{}
tuned_cv_summary.csv,OK,1,8,,,,,,,,,,False,,,,,,,False,,,,,,,0.0,0,,{}
tuned_cv_thresholds.csv,OK,98,4,,,,,,,,,,False,,,,,,,False,,,,,,,0.0,0,,{}
xgb_regression_metrics_by_horizon.csv,OK,10,4,,,,,,,,,,False,,,,,,,False,,,,,,,0.0,0,,{}
