river_id,target_date,horizon_day,pred_flow,true_flow,capacity_q95,true_class,pred_flow_adjusted,pred_class
1540500,2022-11-14,1,33042.9609375,37200.0,48974.999999999825,0,36347.25703125,0
1540500,2022-11-15,2,29611.77734375,29000.0,48974.999999999825,0,32572.955078125004,0
1540500,2022-11-16,3,19521.63671875,22400.0,48974.999999999825,0,21473.800390625,0
1540500,2022-11-17,4,16444.951171875,20900.0,48974.999999999825,0,18089.4462890625,0
1540500,2022-11-18,5,17767.5078125,21000.0,48974.999999999825,0,19544.25859375,0
1540500,2022-11-19,6,17653.373046875,19800.0,48974.999999999825,0,19418.710351562502,0
1540500,2022-11-20,7,15805.2109375,17600.0,48974.999999999825,0,17385.73203125,0
1540500,2022-11-21,8,14111.53515625,15100.0,48974.999999999825,0,15522.688671875001,0
1540500,2022-11-22,9,12254.646484375,12900.0,48974.999999999825,0,13480.1111328125,0
1540500,2022-11-23,10,11129.220703125,11500.0,48974.999999999825,0,12242.142773437501,0
1540500,2022-11-19,1,18034.080078125,19800.0,48974.999999999825,0,19837.4880859375,0
1540500,2022-11-20,2,16096.9091796875,17600.0,48974.999999999825,0,17706.60009765625,0
1540500,2022-11-21,3,14316.4677734375,15100.0,48974.999999999825,0,15748.11455078125,0
1540500,2022-11-22,4,12392.505859375,12900.0,48974.999999999825,0,13631.756445312501,0
1540500,2022-11-23,5,11220.58984375,11500.0,48974.999999999825,0,12342.648828125,0
1540500,2022-11-24,6,10338.140625,10400.0,48974.999999999825,0,11371.954687500001,0
1540500,2022-11-25,7,9357.87890625,9610.0,48974.999999999825,0,10293.666796875,0
1540500,2022-11-26,8,8775.751953125,9050.0,48974.999999999825,0,9653.3271484375,0
1540500,2022-11-27,9,8817.654296875,8770.0,48974.999999999825,0,9699.4197265625,0
1540500,2022-11-28,10,10791.80078125,10000.0,48974.999999999825,0,11870.980859375,0
1540500,2022-11-24,1,10410.10546875,10400.0,48974.999999999825,0,11451.116015625,0
1540500,2022-11-25,2,9415.42578125,9610.0,48974.999999999825,0,10356.968359375001,0
1540500,2022-11-26,3,8821.892578125,9050.0,48974.999999999825,0,9704.0818359375,0
1540500,2022-11-27,4,8853.228515625,8770.0,48974.999999999825,0,9738.551367187501,0
1540500,2022-11-28,5,10826.6328125,10000.0,48974.999999999825,0,11909.296093750001,0
1540500,2022-11-29,6,14926.798828125,13700.0,48974.999999999825,0,16419.478710937503,0
1540500,2022-11-30,7,18412.435546875,19000.0,48974.999999999825,0,20253.679101562502,0
1540500,2022-12-01,8,27693.01953125,22500.0,48974.999999999825,0,30462.321484375003,0
1540500,2022-12-02,9,25591.71484375,20700.0,48974.999999999825,0,28150.886328125,0
1540500,2022-12-03,10,20374.083984375,19200.0,48974.999999999825,0,22411.492382812503,0
1540500,2022-11-29,1,14884.279296875,13700.0,48974.999999999825,0,16372.707226562501,0
1540500,2022-11-30,2,18382.33203125,19000.0,48974.999999999825,0,20220.565234375,0
1540500,2022-12-01,3,27674.63671875,22500.0,48974.999999999825,0,30442.100390625,0
1540500,2022-12-02,4,25583.7890625,20700.0,48974.999999999825,0,28142.167968750004,0
1540500,2022-12-03,5,20368.650390625,19200.0,48974.999999999825,0,22405.5154296875,0
